id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"- SLA P1 resolution đã được cập nhật từ 6 giờ xuống 4 giờ trong phiên bản v2026.1 (2026-01-15) [1].
- Không đủ dữ liệu trong tài liệu hiện có.","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"The answer accurately states that the SLA P1 resolution was updated from 6 hours to 4 hours in version v2026.1 (2026-01-15), which is directly supported by the retrieved context. The statement 'Không đủ dữ liệu trong tài liệu hiện có' is a general disclaimer and does not contradict the context. All claims are faithful to the provided information.",4,"The answer directly addresses the change in SLA for P1 tickets, specifying the update from 6 hours to 4 hours and referencing the relevant version. However, the note about insufficient data is unnecessary since the main change was already provided, making the answer slightly less complete.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu rõ việc cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ trong phiên bản v2026.1, nhưng thiếu thông tin về việc phiên bản trước (v2025.3) không thay đổi SLA này. Đây là một điểm nhỏ nhưng cần thiết để so sánh đầy đủ giữa các phiên bản.",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","- Bạn phải sử dụng VPN Cisco AnyConnect khi làm việc remote [1].
- Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Both claims are directly supported by the retrieved context. The use of Cisco AnyConnect for VPN and the limit of 2 devices per account are explicitly mentioned in the support/helpdesk-faq.md file.,5,The answer directly and completely addresses both parts of the question: it specifies the required VPN software (Cisco AnyConnect) and clearly states the maximum number of devices (2) that can be connected simultaneously.,5,Retrieved: 2/2 expected sources,4,"Model answer đã đề cập đến việc phải dùng VPN Cisco AnyConnect và giới hạn 2 thiết bị, nhưng thiếu chi tiết về việc VPN là bắt buộc khi truy cập hệ thống nội bộ (theo HR Leave Policy) và không nêu rõ nguồn tham khảo là IT Helpdesk FAQ.",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"- Đơn hàng mua trong chương trình Flash Sale không được hoàn tiền nếu đã áp dụng mã giảm giá đặc biệt và sản phẩm đã được kích hoạt hoặc đăng ký tài khoản [1].
- Không đủ dữ liệu trong tài liệu hiện có.",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,3,"The answer partially reflects the context: it correctly states that orders from Flash Sale with special discount codes and products that have been activated or registered are not eligible for refunds. However, it combines these two exceptions into a single condition (using 'và'/'and'), whereas the context lists them as separate exceptions (either condition is sufficient for ineligibility). The answer also references a source [1] that is not present in the retrieved context, and the second bullet point ('Không đủ dữ liệu...') is not supported by the context. Thus, most claims are grounded, but some information may come from model knowledge or are not directly supported.",4,"The answer addresses the question by stating that Flash Sale orders with special discount codes and activated products are not eligible for refunds. However, it introduces a caveat about insufficient data, which slightly detracts from the completeness. Overall, it is relevant and mostly complete, but the uncertainty prevents a perfect score.",5,Retrieved: 1/1 expected sources,3,"Model answer trả lời đúng là không được hoàn tiền và đề cập đến mã giảm giá đặc biệt và sản phẩm đã kích hoạt, nhưng không nhấn mạnh rằng cả hai điều kiện này cùng xảy ra mới dẫn đến việc không hoàn tiền. Ngoài ra, không đề cập rõ ràng đến Điều 3 của chính sách như trong đáp án mẫu.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","- Nếu chọn nhận store credit, bạn sẽ nhận được 110% so với số tiền gốc [1]. 
- Không đủ dữ liệu trong tài liệu hiện có.","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"The answer accurately states that choosing store credit results in receiving 110% of the original amount, which is directly supported by the retrieved context. The statement 'Không đủ dữ liệu trong tài liệu hiện có' is a disclaimer and does not introduce unsupported information. All claims are grounded in the provided context.",5,"The answer directly and completely addresses the question by stating that if you choose store credit, you will receive 110% of the original amount. The note about insufficient data is extraneous but does not detract from the completeness of the main answer.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu đúng tỷ lệ 110% khi chọn store credit, nhưng thiếu chi tiết rằng đây là một tùy chọn, không bắt buộc khách hàng phải chọn.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","- Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access, nhưng yêu cầu phê duyệt từ IT Manager và CISO.
- Thời gian xử lý để cấp quyền Admin Access là 5 ngày làm việc.
- Yêu cầu đặc biệt là phải hoàn thành training bắt buộc về security policy [2].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",3,"The answer accurately states the approval requirements, processing time, and mandatory training for Admin Access, all of which are supported by the context. However, the claim that 'Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access' is not supported or mentioned in the retrieved context. The context only specifies eligible roles (DevOps, SRE, IT Admin) but does not mention contractors. Therefore, most claims are grounded, but some information may come from model knowledge.",5,"The answer directly and completely addresses all parts of the question: it confirms that external contractors can be granted Admin Access, specifies the approval requirements (IT Manager and CISO), states the processing time (5 working days), and mentions the special requirement (mandatory security policy training).",5,Retrieved: 1/1 expected sources,5,"Model answer đầy đủ các ý chính: contractor bên ngoài có thể được cấp quyền Admin Access, cần phê duyệt từ IT Manager và CISO, thời gian xử lý là 5 ngày làm việc, và yêu cầu training về security policy. Không thiếu ý nào so với đáp án mong đợi.",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","- Quy trình cấp quyền tạm thời cho engineer trong sự cố P1: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].
- Thời gian tồn tại của quyền tạm thời: Quyền này tồn tại tối đa 24 giờ, sau đó phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"Every claim in the answer is directly supported by the retrieved context from it/access-control-sop.md. The answer accurately describes the process for granting temporary access rights during a P1 incident, including the requirement for verbal approval from the Tech Lead, the 24-hour maximum duration, the need for logging in the Security Audit system, and the requirement for a formal ticket or automatic revocation after 24 hours.",5,The answer directly and completely addresses both parts of the question: it outlines the specific process for granting temporary access (including approval and logging requirements) and clearly states the duration (maximum 24 hours) of the temporary access. No relevant details are missing.,5,Retrieved: 2/2 expected sources,4,"Model answer đầy đủ các ý chính về quy trình cấp quyền, thời gian tồn tại, yêu cầu ghi log và phê duyệt bằng lời từ Tech Lead. Tuy nhiên, thiếu chi tiết về việc liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Không đủ dữ liệu trong tài liệu hiện có.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,The answer accurately reflects that there is not enough data in the provided context to answer the question. It does not introduce any unsupported claims and is fully faithful to the retrieved context.,5,The answer directly addresses the question by stating that there is not enough data in the available documents to determine the penalty amount. This is a complete and relevant response given the information constraints.,,No expected sources,3,"Model answer chỉ nói chung chung là không đủ dữ liệu, nhưng không chỉ rõ rằng tài liệu không quy định mức phạt, cũng không đề cập đến nội dung cụ thể của tài liệu như expected answer.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"- Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2].
- Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần giấy tờ y tế từ bệnh viện [1]. 
- Không đủ dữ liệu trong tài liệu hiện có.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Every claim in the answer is directly supported by the retrieved context. The requirement to notify at least 3 working days in advance for annual leave is stated in the context. The requirement for medical documentation for sick leave over 3 consecutive days is also present. The statement about insufficient data is accurate given the context provided.,4,"The answer correctly states the required notice period for annual leave (3 working days) and explains the documentation needed for sick leave (medical certificate if over 3 days). However, it could be clearer in directly comparing whether the notice period for annual leave is the same as the documentation requirement for sick leave, rather than just listing them separately. The last sentence about insufficient data is unnecessary, as the main points are covered.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu đúng số ngày cần báo trước khi nghỉ phép năm (3 ngày làm việc) và số ngày cần giấy tờ khi nghỉ ốm (trên 3 ngày liên tiếp). Tuy nhiên, thiếu chi tiết về việc báo nghỉ phép năm phải thực hiện qua HR Portal như trong đáp án mong đợi.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","- Mật khẩu tài khoản công ty cần đổi định kỳ, cụ thể là mỗi 90 ngày [1].
- Hệ thống sẽ nhắc nhở trước 7 ngày khi mật khẩu sắp hết hạn [1].
- Thông tin về việc đổi mật khẩu không có trong tài liệu hiện có.","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",4,"Hai câu đầu về việc đổi mật khẩu định kỳ mỗi 90 ngày và hệ thống nhắc nhở trước 7 ngày đều được hỗ trợ trực tiếp trong context. Tuy nhiên, câu cuối 'Thông tin về việc đổi mật khẩu không có trong tài liệu hiện có' là không chính xác vì thông tin này thực sự có trong context. Do đó, trừ 1 điểm nhỏ.",4,"The answer addresses the main parts of the question: it confirms that passwords need to be changed periodically (every 90 days) and that the system will remind users 7 days in advance. However, it does not specify where or how to change the password, only stating that this information is not available in the current documentation. This omission of a minor detail prevents a perfect score.",5,Retrieved: 1/1 expected sources,3,"Model answer đã trả lời đúng về việc mật khẩu cần đổi định kỳ mỗi 90 ngày và hệ thống sẽ nhắc nhở trước 7 ngày. Tuy nhiên, phần hướng dẫn cụ thể về cách đổi mật khẩu (đường dẫn và liên hệ Helpdesk) bị thiếu, đây là một điểm quan trọng trong câu trả lời mong đợi.",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,- Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026; các đơn hàng này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,Every claim in the answer is directly supported by the retrieved context. The context clearly states that the policy applies to orders placed from 01/02/2026 and that orders placed before this date will follow the previous refund policy (version 3).,5,The answer directly and completely addresses the question by stating that the current refund policy does not apply to orders placed before 01/02/2026 and specifies that those orders follow the version 3 refund policy.,5,Retrieved: 1/1 expected sources,4,"Model answer trả lời đúng trọng tâm rằng các đơn hàng đặt trước ngày 01/02/2026 không áp dụng chính sách hoàn tiền hiện tại và sẽ áp dụng theo phiên bản 3. Tuy nhiên, model answer thiếu thông tin về thời điểm hiệu lực và phạm vi áp dụng của chính sách hoàn tiền phiên bản 4.",baseline_dense
